Child's First Name,Year of Birth,Gender,ASIAN AND PACIFIC ISLANDER,BLACK NON HISPANIC,HISPANIC,WHITE NON HISPANIC,overall_count,rank
AALIYAH,2011,FEMALE,0,4968,4536,0,9504,72.0
ABBY,2011,FEMALE,0,0,360,0,360,587.0
ABIGAIL,2011,FEMALE,3456,7344,11520,14832,37152,13.0
ADA,2011,FEMALE,468,0,0,0,468,474.0
ADDISON,2011,FEMALE,0,936,0,1368,2304,195.0
ADELE,2011,FEMALE,0,0,0,792,792,323.0
ADELINE,2011,FEMALE,0,0,0,432,432,508.0
ADINA,2011,FEMALE,0,0,0,684,684,361.0
ADRIANA,2011,FEMALE,0,0,4680,2088,6768,88.0
ADRIANNA,2011,FEMALE,0,0,1872,1296,3168,168.0
AHUVA,2011,FEMALE,0,0,0,576,576,394.0
AICHA,2011,FEMALE,0,504,0,0,504,442.0
AILEEN,2011,FEMALE,0,0,756,0,756,337.0
AIMEE,2011,FEMALE,0,0,432,0,432,508.0
AISHA,2011,FEMALE,1404,1080,1404,0,3888,143.0
AISSATOU,2011,FEMALE,0,468,0,0,468,474.0
AIZA,2011,FEMALE,360,0,0,0,360,587.0
ALANA,2011,FEMALE,0,1296,792,0,2088,211.0
ALEENA,2011,FEMALE,432,0,0,0,432,508.0
ALEJANDRA,2011,FEMALE,0,0,576,0,576,394.0
ALESSANDRA,2011,FEMALE,0,0,936,1440,2376,191.0
ALESSIA,2011,FEMALE,0,0,0,504,504,442.0
ALEXA,2011,FEMALE,1080,0,5940,5832,12852,51.0
ALEXANDRA,2011,FEMALE,1404,0,5076,11772,18252,35.0
ALEXIS,2011,FEMALE,0,936,0,1944,2880,172.0
ALICE,2011,FEMALE,2916,0,1728,5400,10044,68.0
ALICIA,2011,FEMALE,0,1188,2592,1188,4968,115.0
ALINA,2011,FEMALE,1800,0,0,792,2592,182.0
ALISA,2011,FEMALE,0,0,0,504,504,442.0
ALISHA,2011,FEMALE,360,0,0,0,360,587.0
ALISON,2011,FEMALE,0,0,1152,0,1152,268.0
ALISSON,2011,FEMALE,0,0,540,0,540,417.0
ALIYAH,2011,FEMALE,1296,2484,2376,0,6156,95.0
ALIZA,2011,FEMALE,0,0,0,792,792,323.0
ALLISON,2011,FEMALE,1836,0,9720,1620,13176,49.0
ALLYSON,2011,FEMALE,0,0,684,0,684,361.0
ALONDRA,2011,FEMALE,0,0,576,0,576,394.0
ALYSON,2011,FEMALE,0,0,396,0,396,546.0
ALYSSA,2011,FEMALE,3744,5040,9072,4032,21888,29.0
AMANDA,2011,FEMALE,3168,2448,4320,2160,12096,56.0
AMANI,2011,FEMALE,0,540,0,0,540,417.0
AMAYA,2011,FEMALE,0,2304,2232,0,4536,126.0
AMBER,2011,FEMALE,1404,1944,2700,0,6048,96.0
AMELIA,2011,FEMALE,2016,2736,4752,8928,18432,34.0
AMELIE,2011,FEMALE,0,0,0,540,540,417.0
AMINA,2011,FEMALE,0,1008,0,1224,2232,200.0
AMINATA,2011,FEMALE,0,900,0,0,900,298.0
AMIRA,2011,FEMALE,0,1080,0,792,1872,224.0
AMIRAH,2011,FEMALE,0,792,0,0,792,323.0
AMIYAH,2011,FEMALE,0,720,0,0,720,344.0
AMY,2011,FEMALE,2592,0,9396,1188,13176,49.0
ANA,2011,FEMALE,0,0,1188,0,1188,262.0
ANALIA,2011,FEMALE,0,0,612,0,612,379.0
ANASTASIA,2011,FEMALE,0,0,0,684,684,361.0
ANAYA,2011,FEMALE,0,864,792,0,1656,237.0
ANDREA,2011,FEMALE,0,0,2196,0,2196,205.0
ANGEL,2011,FEMALE,1584,1152,0,0,2736,179.0
ANGELA,2011,FEMALE,3384,0,1440,0,4824,119.0
ANGELICA,2011,FEMALE,0,0,2880,720,3600,151.0
ANGELINA,2011,FEMALE,3744,1584,10368,7200,22896,26.0
ANGELIQUE,2011,FEMALE,0,0,1080,0,1080,273.0
ANGELY,2011,FEMALE,0,0,396,0,396,546.0
ANGIE,2011,FEMALE,720,0,1368,0,2088,211.0
ANIKA,2011,FEMALE,504,0,0,0,504,442.0
ANIYA,2011,FEMALE,0,684,0,0,684,361.0
ANIYAH,2011,FEMALE,0,2520,1008,0,3528,154.0
ANNA,2011,FEMALE,3240,0,1404,9180,13824,47.0
ANNABEL,2011,FEMALE,0,0,0,504,504,442.0
ANNABELLE,2011,FEMALE,1080,0,1404,2916,5400,107.0
ANNIE,2011,FEMALE,720,0,0,0,720,344.0
APRIL,2011,FEMALE,0,0,468,0,468,474.0
ARELY,2011,FEMALE,0,0,432,0,432,508.0
ARIA,2011,FEMALE,864,936,0,0,1800,230.0
ARIANA,2011,FEMALE,2160,1872,8784,3888,16704,40.0
ARIANNA,2011,FEMALE,1584,5472,11088,4032,22176,28.0
ARIANNY,2011,FEMALE,0,0,360,0,360,587.0
ARIEL,2011,FEMALE,0,3456,1836,1512,6804,87.0
ARIELA,2011,FEMALE,0,0,0,360,360,587.0
ARIELLA,2011,FEMALE,0,0,1008,1872,2880,172.0
ARIELLE,2011,FEMALE,0,720,0,0,720,344.0
ARYA,2011,FEMALE,432,0,0,0,432,508.0
ASHLEY,2011,FEMALE,7488,2304,27360,2880,40032,12.0
ASHLY,2011,FEMALE,0,0,468,0,468,474.0
ATARA,2011,FEMALE,0,0,0,360,360,587.0
ATHENA,2011,FEMALE,0,0,432,0,432,508.0
AUBREY,2011,FEMALE,0,1728,2700,1080,5508,106.0
AUDREY,2011,FEMALE,1368,0,0,1872,3240,166.0
AURORA,2011,FEMALE,0,0,576,0,576,394.0
AUTUMN,2011,FEMALE,0,1872,0,720,2592,182.0
AVA,2011,FEMALE,3312,5760,7776,23328,40176,11.0
AVERY,2011,FEMALE,0,0,0,1872,1872,224.0
AVIGAIL,2011,FEMALE,0,0,0,396,396,546.0
AVIVA,2011,FEMALE,0,0,0,648,648,371.0
AYESHA,2011,FEMALE,612,0,0,0,612,379.0
AYLA,2011,FEMALE,0,0,0,360,360,587.0
AYLEEN,2011,FEMALE,0,0,504,0,504,442.0
AYLIN,2011,FEMALE,0,0,576,0,576,394.0
BAILA,2011,FEMALE,0,0,0,1440,1440,249.0
BARBARA,2011,FEMALE,0,0,0,432,432,508.0
BATSHEVA,2011,FEMALE,0,0,0,720,720,344.0
BATYA,2011,FEMALE,0,0,0,540,540,417.0
BEATRICE,2011,FEMALE,0,0,0,1188,1188,262.0
